Time [s], Analyzer Name, Decoded Protocol Result
0.000000000000000,Async Serial,'0' (framing error)
0.002074416666667,Async Serial,'138'
0.040454500000000,Async Serial,[
0.040714708333333,Async Serial,U
0.040974875000000,Async Serial,5
0.041235041666667,Async Serial,]
0.041495166666667,Async Serial,' '
0.041755333333333,Async Serial,0
0.042015541666667,Async Serial,\r
0.042275708333333,Async Serial,\n
0.552040125000000,Async Serial,[
0.552300291666667,Async Serial,U
0.552560416666667,Async Serial,5
0.552820625000000,Async Serial,]
0.553080791666667,Async Serial,' '
0.553340958333333,Async Serial,1
0.553601125000000,Async Serial,\r
0.553861291666667,Async Serial,\n
1.063371041666667,Async Serial,[
1.063631250000000,Async Serial,U
1.063891458333333,Async Serial,5
1.064151666666667,Async Serial,]
1.064411833333333,Async Serial,' '
1.064672000000000,Async Serial,2
1.064932208333333,Async Serial,\r
1.065192416666667,Async Serial,\n
1.574714000000000,Async Serial,[
1.574974208333333,Async Serial,U
1.575234375000000,Async Serial,5
1.575494541666667,Async Serial,]
1.575754750000000,Async Serial,' '
1.576014916666667,Async Serial,3
1.576275125000000,Async Serial,\r
1.576535291666667,Async Serial,\n
2.086044166666666,Async Serial,[
2.086304375000000,Async Serial,U
2.086564583333333,Async Serial,5
2.086824791666666,Async Serial,]
2.087084958333334,Async Serial,' '
2.087345166666667,Async Serial,4
2.087605333333333,Async Serial,\r
2.087865541666666,Async Serial,\n
2.597398875000000,Async Serial,[
2.597659125000000,Async Serial,U
2.597919333333333,Async Serial,5
2.598179500000000,Async Serial,]
2.598439666666667,Async Serial,' '
2.598699875000000,Async Serial,5
2.598960041666666,Async Serial,\r
2.599220208333333,Async Serial,\n
3.108749875000000,Async Serial,[
3.109010125000000,Async Serial,U
3.109270291666667,Async Serial,5
3.109530500000000,Async Serial,]
3.109790708333333,Async Serial,' '
3.110050875000000,Async Serial,6
3.110311041666667,Async Serial,\r
3.110571250000000,Async Serial,\n
3.620101333333333,Async Serial,[
3.620361541666667,Async Serial,U
3.620621750000000,Async Serial,5
3.620881916666667,Async Serial,]
3.621142125000000,Async Serial,' '
3.621402291666667,Async Serial,7
3.621662458333333,Async Serial,\r
3.621922625000000,Async Serial,\n
4.131432375000000,Async Serial,[
4.131692583333333,Async Serial,U
4.131952750000000,Async Serial,5
4.132212958333334,Async Serial,]
4.132473125000000,Async Serial,' '
4.132733291666667,Async Serial,8
4.132993500000000,Async Serial,\r
4.133253666666667,Async Serial,\n
4.642786583333334,Async Serial,[
4.643046791666666,Async Serial,U
4.643307000000000,Async Serial,5
4.643567208333334,Async Serial,]
4.643827416666666,Async Serial,' '
4.644087625000000,Async Serial,9
4.644347833333334,Async Serial,\r
4.644608041666666,Async Serial,\n
5.154149666666667,Async Serial,[
5.154409875000000,Async Serial,U
5.154670041666667,Async Serial,5
5.154930166666666,Async Serial,]
5.155190333333334,Async Serial,' '
5.155450458333333,Async Serial,1
5.155710666666667,Async Serial,0
5.155970833333333,Async Serial,\r
5.156231000000000,Async Serial,\n
5.666497833333334,Async Serial,[
5.666758041666666,Async Serial,U
5.667018250000000,Async Serial,5
5.667278458333334,Async Serial,]
5.667538625000000,Async Serial,' '
5.667798791666667,Async Serial,1
5.668058958333333,Async Serial,1
5.668319125000000,Async Serial,\r
5.668579291666667,Async Serial,\n
6.178825500000000,Async Serial,[
6.179085708333333,Async Serial,U
6.179345875000000,Async Serial,5
6.179606083333334,Async Serial,]
6.179866250000000,Async Serial,' '
6.180126416666667,Async Serial,1
6.180386625000000,Async Serial,2
6.180646791666667,Async Serial,\r
6.180907000000000,Async Serial,\n
6.691153000000000,Async Serial,[
6.691413166666667,Async Serial,U
6.691673333333333,Async Serial,5
6.691933500000000,Async Serial,]
6.692193625000000,Async Serial,' '
6.692453791666667,Async Serial,1
6.692713916666666,Async Serial,3
6.692974083333334,Async Serial,\r
6.693234250000000,Async Serial,\n
7.203524583333333,Async Serial,[
7.203784750000000,Async Serial,U
7.204044916666667,Async Serial,5
7.204305083333334,Async Serial,]
7.204565250000000,Async Serial,' '
7.204825416666667,Async Serial,1
7.205085583333333,Async Serial,4
7.205345791666667,Async Serial,\r
7.205605958333333,Async Serial,\n
7.715891291666667,Async Serial,[
7.716151541666667,Async Serial,U
7.716411708333333,Async Serial,5
7.716671875000000,Async Serial,]
7.716932083333333,Async Serial,' '
7.717192250000000,Async Serial,1
7.717452458333334,Async Serial,5
7.717712625000000,Async Serial,\r
7.717972833333334,Async Serial,\n
8.228239500000001,Async Serial,[
8.228499708333333,Async Serial,U
8.228759916666666,Async Serial,5
8.229020125000000,Async Serial,]
8.229280291666667,Async Serial,' '
8.229540500000001,Async Serial,1
8.229800666666666,Async Serial,6
8.230060833333333,Async Serial,\r
8.230321041666667,Async Serial,\n
8.740619333333333,Async Serial,[
8.740879541666667,Async Serial,U
8.741139708333334,Async Serial,5
8.741399875000001,Async Serial,]
8.741660041666666,Async Serial,' '
8.741920208333333,Async Serial,1
8.742180416666667,Async Serial,7
8.742440541666667,Async Serial,\r
8.742700708333333,Async Serial,\n
9.252936708333333,Async Serial,[
9.253196916666667,Async Serial,U
9.253457083333334,Async Serial,5
9.253717249999999,Async Serial,]
9.253977416666666,Async Serial,' '
9.254237625000000,Async Serial,1
9.254497791666667,Async Serial,8
9.254757958333334,Async Serial,\r
9.255018124999999,Async Serial,\n
9.765276083333333,Async Serial,[
9.765536291666667,Async Serial,U
9.765796458333334,Async Serial,5
9.766056624999999,Async Serial,]
9.766316833333333,Async Serial,' '
9.766577000000000,Async Serial,1
9.766837166666667,Async Serial,9
9.767097291666667,Async Serial,\r
9.767357416666666,Async Serial,\n
10.277643958333334,Async Serial,[
10.277904166666668,Async Serial,U
10.278164333333333,Async Serial,5
10.278424500000000,Async Serial,]
10.278684666666667,Async Serial,' '
10.278944833333334,Async Serial,2
10.279204958333333,Async Serial,0
10.279465125000000,Async Serial,\r
10.279725291666667,Async Serial,\n
10.789993333333333,Async Serial,[
10.790253541666667,Async Serial,U
10.790513708333334,Async Serial,5
10.790773874999999,Async Serial,]
10.791034083333333,Async Serial,' '
10.791294291666667,Async Serial,2
10.791554500000000,Async Serial,1
10.791814666666667,Async Serial,\r
10.792074875000001,Async Serial,\n
11.302342583333333,Async Serial,[
11.302602791666667,Async Serial,U
11.302863000000000,Async Serial,5
11.303123166666667,Async Serial,]
11.303383374999999,Async Serial,' '
11.303643583333333,Async Serial,2
11.303903750000000,Async Serial,2
11.304163916666667,Async Serial,\r
11.304424125000001,Async Serial,\n
11.814718916666667,Async Serial,[
11.814979166666667,Async Serial,U
11.815239291666666,Async Serial,5
11.815499458333333,Async Serial,]
11.815759666666667,Async Serial,' '
11.816019833333334,Async Serial,2
11.816280000000001,Async Serial,3
11.816540166666666,Async Serial,\r
11.816800333333333,Async Serial,\n
12.327066208333333,Async Serial,[
12.327326416666667,Async Serial,U
12.327586583333334,Async Serial,5
12.327846791666667,Async Serial,]
12.328106958333333,Async Serial,' '
12.328367125000000,Async Serial,2
12.328627333333333,Async Serial,4
12.328887500000000,Async Serial,\r
12.329147666666668,Async Serial,\n
12.839423458333334,Async Serial,[
12.839683624999999,Async Serial,U
12.839943833333333,Async Serial,5
12.840204000000000,Async Serial,]
12.840464166666667,Async Serial,' '
12.840724333333334,Async Serial,2
12.840984499999999,Async Serial,5
12.841244625000000,Async Serial,\r
12.841504833333333,Async Serial,\n
13.351774833333334,Async Serial,[
13.352035000000001,Async Serial,U
13.352295208333333,Async Serial,5
13.352555375000000,Async Serial,]
13.352815583333333,Async Serial,' '
13.353075791666667,Async Serial,2
13.353335958333334,Async Serial,6
13.353596208333334,Async Serial,\r
13.353856458333333,Async Serial,\n
13.864168208333334,Async Serial,[
13.864428416666666,Async Serial,U
13.864688583333333,Async Serial,5
13.864948750000000,Async Serial,]
13.865208916666667,Async Serial,' '
13.865469083333334,Async Serial,2
13.865729249999999,Async Serial,7
13.865989416666666,Async Serial,\r
13.866249583333333,Async Serial,\n
14.376544125000001,Async Serial,[
14.376804333333334,Async Serial,U
14.377064499999999,Async Serial,5
14.377324708333333,Async Serial,]
14.377584875000000,Async Serial,' '
14.377845041666667,Async Serial,2
14.378105208333332,Async Serial,8
14.378365333333333,Async Serial,\r
14.378625500000000,Async Serial,\n
14.888894208333333,Async Serial,[
14.889154416666667,Async Serial,U
14.889414583333334,Async Serial,5
14.889674749999999,Async Serial,]
14.889934916666666,Async Serial,' '
14.890195083333333,Async Serial,2
14.890455208333334,Async Serial,9
14.890715333333333,Async Serial,\r
14.890975500000000,Async Serial,\n
15.401265250000000,Async Serial,[
15.401525458333333,Async Serial,U
15.401785666666667,Async Serial,5
15.402045875000001,Async Serial,]
15.402306125000001,Async Serial,' '
15.402566333333333,Async Serial,3
15.402826541666666,Async Serial,0
15.403086750000000,Async Serial,\r
15.403346958333334,Async Serial,\n
15.913630208333334,Async Serial,[
15.913890458333332,Async Serial,U
15.914150625000000,Async Serial,5
15.914410791666667,Async Serial,]
15.914671000000000,Async Serial,' '
15.914931166666667,Async Serial,3
15.915191374999999,Async Serial,1
15.915451500000000,Async Serial,\r
15.915711666666667,Async Serial,\n
16.425991166666666,Async Serial,[
16.426251375000000,Async Serial,U
16.426511583333333,Async Serial,5
16.426771791666667,Async Serial,]
16.427032000000001,Async Serial,' '
16.427292166666668,Async Serial,3
16.427552333333335,Async Serial,2
16.427812500000002,Async Serial,\r
16.428072708333332,Async Serial,\n
16.938376791666666,Async Serial,[
16.938637000000000,Async Serial,U
16.938897208333334,Async Serial,5
16.939157416666667,Async Serial,]
16.939417625000001,Async Serial,' '
16.939677833333334,Async Serial,3
16.939938000000001,Async Serial,3
16.940198166666665,Async Serial,\r
16.940458374999999,Async Serial,\n
17.450732625000001,Async Serial,[
17.450992833333334,Async Serial,U
17.451253000000001,Async Serial,5
17.451513208333335,Async Serial,]
17.451773374999998,Async Serial,' '
17.452033583333332,Async Serial,3
17.452293749999999,Async Serial,4
17.452553916666666,Async Serial,\r
17.452814125000000,Async Serial,\n
17.963102124999999,Async Serial,[
17.963362374999999,Async Serial,U
17.963622624999999,Async Serial,5
17.963882791666666,Async Serial,]
17.964143000000000,Async Serial,' '
17.964403208333334,Async Serial,3
17.964663416666667,Async Serial,5
17.964923625000001,Async Serial,\r
17.965183833333334,Async Serial,\n
18.475518333333333,Async Serial,[
18.475778583333334,Async Serial,U
18.476038750000001,Async Serial,5
18.476298958333334,Async Serial,]
18.476559166666668,Async Serial,' '
18.476819375000002,Async Serial,3
18.477079583333332,Async Serial,6
18.477339791666665,Async Serial,\r
18.477599999999999,Async Serial,\n
18.987890958333335,Async Serial,[
18.988151166666668,Async Serial,U
18.988411374999998,Async Serial,5
18.988671541666665,Async Serial,]
18.988931749999999,Async Serial,' '
18.989191916666666,Async Serial,3
18.989452083333333,Async Serial,7
18.989712291666667,Async Serial,\r
18.989972458333334,Async Serial,\n
19.500225374999999,Async Serial,[
19.500485583333333,Async Serial,U
19.500745750000000,Async Serial,5
19.501005958333334,Async Serial,]
19.501266125000001,Async Serial,' '
19.501526250000001,Async Serial,3
19.501786416666668,Async Serial,8
19.502046583333332,Async Serial,\r
19.502306749999999,Async Serial,\n
20.012572208333335,Async Serial,[
20.012832458333332,Async Serial,U
20.013092666666665,Async Serial,5
20.013352833333332,Async Serial,]
20.013613041666666,Async Serial,' '
20.013873208333333,Async Serial,3
20.014133416666667,Async Serial,9
20.014393583333334,Async Serial,\r
20.014653750000001,Async Serial,\n
20.524962583333334,Async Serial,[
20.525222791666668,Async Serial,U
20.525483000000001,Async Serial,5
20.525743166666668,Async Serial,]
20.526003374999998,Async Serial,' '
20.526263541666665,Async Serial,4
20.526523749999999,Async Serial,0
20.526783916666666,Async Serial,\r
20.527044083333333,Async Serial,\n
21.037326458333332,Async Serial,[
21.037586666666666,Async Serial,U
21.037846833333333,Async Serial,5
21.038107041666667,Async Serial,]
21.038367208333334,Async Serial,' '
21.038627375000001,Async Serial,4
21.038887541666668,Async Serial,1
21.039147708333335,Async Serial,\r
21.039407916666665,Async Serial,\n
21.549677166666665,Async Serial,[
21.549937374999999,Async Serial,U
21.550197541666666,Async Serial,5
21.550457750000000,Async Serial,]
21.550717875000000,Async Serial,' '
21.550978041666667,Async Serial,4
21.551238250000001,Async Serial,2
21.551498458333334,Async Serial,\r
21.551758625000002,Async Serial,\n
22.062040791666668,Async Serial,[
22.062301000000001,Async Serial,U
22.062561208333332,Async Serial,5
22.062821374999999,Async Serial,]
22.063081583333332,Async Serial,' '
22.063341749999999,Async Serial,4
22.063601916666666,Async Serial,3
22.063862083333333,Async Serial,\r
22.064122291666667,Async Serial,\n
22.574383708333333,Async Serial,[
22.574643916666666,Async Serial,U
22.574904083333333,Async Serial,5
22.575164250000000,Async Serial,]
22.575424416666667,Async Serial,' '
22.575684625000001,Async Serial,4
22.575944791666668,Async Serial,4
22.576204958333335,Async Serial,\r
22.576465166666665,Async Serial,\n
23.086721375000000,Async Serial,[
23.086981541666667,Async Serial,U
23.087241750000000,Async Serial,5
23.087501958333334,Async Serial,]
23.087762166666668,Async Serial,' '
23.088022375000001,Async Serial,4
23.088282499999998,Async Serial,5
23.088542708333332,Async Serial,\r
23.088802874999999,Async Serial,\n
23.599071208333335,Async Serial,[
23.599331416666665,Async Serial,U
23.599591541666666,Async Serial,5
23.599851666666666,Async Serial,]
23.600111791666667,Async Serial,' '
23.600371916666667,Async Serial,4
23.600632041666668,Async Serial,6
23.600892125000001,Async Serial,\r
23.601152249999998,Async Serial,\n
24.111383125000000,Async Serial,[
24.111643333333333,Async Serial,U
24.111903458333334,Async Serial,5
24.112163666666667,Async Serial,]
24.112423833333334,Async Serial,' '
24.112684000000002,Async Serial,4
24.112944166666665,Async Serial,7
24.113204374999999,Async Serial,\r
24.113464541666666,Async Serial,\n
24.623700500000002,Async Serial,[
24.623960749999998,Async Serial,U
24.624220916666665,Async Serial,5
24.624481124999999,Async Serial,]
24.624741333333333,Async Serial,' '
24.625001541666666,Async Serial,4
24.625261708333333,Async Serial,8
24.625521916666667,Async Serial,\r
24.625782083333334,Async Serial,\n
25.136061958333332,Async Serial,[
25.136322166666666,Async Serial,U
25.136582375000000,Async Serial,5
25.136842541666667,Async Serial,]
25.137102750000000,Async Serial,' '
25.137362875000001,Async Serial,4
25.137623041666668,Async Serial,9
25.137883208333335,Async Serial,\r
25.138143374999999,Async Serial,\n
25.648392291666667,Async Serial,[
25.648652458333334,Async Serial,U
25.648912583333335,Async Serial,5
25.649172708333332,Async Serial,]
25.649432874999999,Async Serial,' '
25.649692999999999,Async Serial,5
25.649953166666666,Async Serial,0
25.650213333333333,Async Serial,\r
25.650473458333334,Async Serial,\n
26.160683708333334,Async Serial,[
26.160943875000001,Async Serial,U
26.161204041666668,Async Serial,5
26.161464166666665,Async Serial,]
26.161724333333332,Async Serial,' '
26.161984416666666,Async Serial,5
26.162244583333333,Async Serial,1
26.162504750000000,Async Serial,\r
26.162764916666667,Async Serial,\n
26.672982083333334,Async Serial,[
26.673242333333334,Async Serial,U
26.673502500000001,Async Serial,5
26.673762708333335,Async Serial,]
26.674022874999999,Async Serial,' '
26.674283083333332,Async Serial,5
26.674543249999999,Async Serial,2
26.674803416666666,Async Serial,\r
26.675063583333333,Async Serial,\n
27.185320333333333,Async Serial,[
27.185580500000000,Async Serial,U
27.185840625000001,Async Serial,5
27.186100791666668,Async Serial,]
27.186360958333335,Async Serial,' '
27.186621083333332,Async Serial,5
27.186881249999999,Async Serial,3
27.187141416666666,Async Serial,\r
27.187401541666667,Async Serial,\n
27.697638291666667,Async Serial,[
27.697898458333334,Async Serial,U
27.698158625000001,Async Serial,5
27.698418791666668,Async Serial,]
27.698678916666665,Async Serial,' '
27.698939083333332,Async Serial,5
27.699199208333333,Async Serial,4
27.699459375000000,Async Serial,\r
27.699719500000000,Async Serial,\n
28.209946583333334,Async Serial,[
28.210206750000001,Async Serial,U
28.210466916666668,Async Serial,5
28.210727041666665,Async Serial,]
28.210987208333332,Async Serial,' '
28.211247333333333,Async Serial,5
28.211507500000000,Async Serial,5
28.211767625000000,Async Serial,\r
28.212027791666667,Async Serial,\n
28.722295124999999,Async Serial,[
28.722555291666666,Async Serial,U
28.722815458333333,Async Serial,5
28.723075666666666,Async Serial,]
28.723335791666667,Async Serial,' '
28.723595916666667,Async Serial,5
28.723856125000001,Async Serial,6
28.724116291666668,Async Serial,\r
28.724376458333332,Async Serial,\n
29.234615750000000,Async Serial,[
29.234875958333333,Async Serial,U
29.235136125000000,Async Serial,5
29.235396291666667,Async Serial,]
29.235656458333334,Async Serial,' '
29.235916625000002,Async Serial,5
29.236176791666665,Async Serial,7
29.236436958333332,Async Serial,\r
29.236697124999999,Async Serial,\n
29.746941916666668,Async Serial,[
29.747202125000001,Async Serial,U
29.747462333333335,Async Serial,5
29.747722499999998,Async Serial,]
29.747982624999999,Async Serial,' '
29.748242833333332,Async Serial,5
29.748502999999999,Async Serial,8
29.748763125000000,Async Serial,\r
29.749023291666667,Async Serial,\n
